"% of Points Earned By Referral","% of Points Earned By Referral"
"%s for birthday","%s for birthday"
"+1 via Google+","+1 via Google+"
"(seconds). This is the minimum interval between 2 different Facebook Likes or Share in order for Customers to be rewarded.","(seconds). This is the minimum interval between 2 different Facebook Likes or Share in order for Customers to be rewarded."
"(seconds). This is the minimum interval between two different +1s in order for Customers to be rewarded.","(seconds). This is the minimum interval between two different +1s in order for Customers to be rewarded."
"(seconds). This is the minimum interval between two different Twitter tweets in order for Customers to be rewarded.","(seconds). This is the minimum interval between two different Twitter tweets in order for Customers to be rewarded."
"You have to check your link at <a href="http://www.google.com/webmasters/tools/richsnippets" target="_blank"> Webmasters Tool</a> before using this function","You have to check your link at <a href="http://www.google.com/webmasters/tools/richsnippets" target="_blank"> Webmasters Tool</a> before using this function"
"All table removed successfully","All table removed successfully"
"Allow Everything","Allow Everything"
"An error occurred while saving this configuration:","An error occurred while saving this configuration:"
"Are you sure to reset all reward points behavior table?","Are you sure to reset all reward points behavior table?"
"Behavior Rules","Behavior Rules"
"Customer Behavior Earning Rules","Customer Behavior Earning Rules"
"Customer Earning","Customer Earning"
"Customer behavior earning","Customer behavior earning"
"Customer birthday occurs","Customer birthday occurs"
"Customer’s Birthday","Customer’s Birthday"
"Earn %s for registering an account","Earn %s for registering an account"
"Earn %s for subscribing to newsletter.","Earn %s for subscribing to newsletter."
"Earn %s for taking poll","Earn %s for taking poll"
"Earn rewards for sharing your purchase.","Earn rewards for sharing your purchase."
"Earning Rate","Earning Rate"
"Email template sent to customers for their birthdays","Email template sent to customers for their birthdays"
"Enable email sent to Customers for their birthdays","Enable email sent to Customers for their birthdays"
"Fixed Amount","Fixed Amount"
"GiantPoints Behavior","GiantPoints Behavior"
"Invalid action","Invalid action"
"Invalid block: %s","Invalid block: %s"
"Leave empty to avoid the limitation","Leave empty to avoid the limitation"
"Like via Facebook","Like via Facebook"
"Likes a page with Facebook","Likes a page with Facebook"
"Manage Rules","Manage Rules"
"Manage customer behavior earning rule","Manage customer behavior earning rule"
"Max points earned for +1 via Google+","Max points earned for +1 via Google+"
"Max points earned for Facebook like","Max points earned for Facebook like"
"Max points earned for reviewing products","Max points earned for reviewing products"
"Max points earned for tagging products","Max points earned for tagging products"
"Max points earned for taking polls","Max points earned for taking polls"
"Max points earned for tweeting on Twitter","Max points earned for tweeting on Twitter"
"Minimum interval between Likes","Minimum interval between Likes"
"Minimum interval between tweets","Minimum interval between tweets"
"Minimum interval between two +1s","Minimum interval between two +1s"
"Minimum number of words in the review","Minimum number of words in the review"
"No action type found to reward sharing your purchase.","No action type found to reward sharing your purchase."
"No order found to reward sharing your purchase.","No order found to reward sharing your purchase."
"No product found to reward sharing your purchase.","No product found to reward sharing your purchase."
"Only those who purchased product can earn points","Only those who purchased product can earn points"
"Pages to display","Pages to display"
"Points earned for +1 via Google+","Points earned for +1 via Google+"
"Points earned for Facebook like","Points earned for Facebook like"
"Points earned for customer’s birthday","Points earned for customer’s birthday"
"Points earned for reviewing product","Points earned for reviewing product"
"Points earned for signing up","Points earned for signing up"
"Points earned for subscribing Newsletters","Points earned for subscribing Newsletters"
"Points earned for tagging a product","Points earned for tagging a product"
"Points earned for taking a poll","Points earned for taking a poll"
"Points earned for tweeting on Twitter","Points earned for tweeting on Twitter"
"Purchase Rewards","Purchase Rewards"
"Purchase Share Feature","Purchase Share Feature"
"Purchase Share on Facebook","Purchase Share on Facebook"
"Purchase Share on Twitter","Purchase Share on Twitter"
"Referral makes any order","Referral makes any order"
"Referral makes first order","Referral makes first order"
"Referral signs up to website","Referral signs up to website"
"Reinstall","Reinstall"
"Review Products","Review Products"
"Reward for +1","Reward for +1"
"Reward for Facebook like","Reward for Facebook like"
"Reward for birthday","Reward for birthday"
"Reward for participating in poll","Reward for participating in poll"
"Reward for registration","Reward for registration"
"Reward for reviewing product %s","Reward for reviewing product %s"
"Reward for sent ","Reward for sent "
"Reward for signing up to newsletter","Reward for signing up to newsletter"
"Reward for tagging product %s","Reward for tagging product %s"
"Reward for tweeting on Twitter","Reward for tweeting on Twitter"
"Rule Manager","Rule Manager"
"Rules Manager","Rules Manager"
"Sender","Sender"
"Settings","Settings"
"Share","Share"
"Shares a purchase on Facebook","Shares a purchase on Facebook"
"Shares a purchase on Facebook.","Shares a purchase on Facebook."
"Shares a purchase on Twitter","Shares a purchase on Twitter"
"Shares a purchase on Twitter.","Shares a purchase on Twitter."
"Show Facebook like button on frontend","Show Facebook like button on frontend"
"Show Facebook like count on frontend","Show Facebook like count on frontend"
"Show Google+ button on frontend","Show Google+ button on frontend"
"Show Google+ count on frontend","Show Google+ count on frontend"
"Show Twitter tweet button on frontend","Show Twitter tweet button on frontend"
"Show Twitter tweet count on frontend","Show Twitter tweet count on frontend"
"Sign up and Subscribe to Newsletters","Sign up and Subscribe to Newsletters"
"Status After Poll","Status After Poll"
"Tag Products","Tag Products"
"Take Polls","Take Polls"
"Thanks for +1","Thanks for +1"
"Thanks for Liking this page!","Thanks for Liking this page!"
"Thanks for sharing this purchase on Facebook!","Thanks for sharing this purchase on Facebook!"
"Thanks for sharing this purchase on Twitter!","Thanks for sharing this purchase on Twitter!"
"Thanks for tweeting this page!","Thanks for tweeting this page!"
"The configuration has been saved.","The configuration has been saved."
"To prevent getting Points by spamming Review/Rating. Store owner can restrict that Only those who purchased product can earn points from Review/Rating","To prevent getting Points by spamming Review/Rating. Store owner can restrict that Only those who purchased product can earn points from Review/Rating"
"Tweeting via Twitter","Tweeting via Twitter"
"Tweets a page with Twitter","Tweets a page with Twitter"
"You","You"
"You earned %s for reviewed this product","You earned %s for reviewed this product"
"You earned %s for votes in poll","You earned %s for votes in poll"
"You have to wait at least %s seconds for the next like!.","You have to wait at least %s seconds for the next like!."
"You must be logged in for us to reward you for +1","You must be logged in for us to reward you for +1"
"You must be logged in for us to reward you for Facebook-Liking a page!","You must be logged in for us to reward you for Facebook-Liking a page!"
"You must be logged in for us to reward you for Twitter!","You must be logged in for us to reward you for Twitter!"
"You must be logged in for us to reward you for shares a purchase on Facebook.!","You must be logged in for us to reward you for shares a purchase on Facebook.!"
"You must be logged in for us to reward you for tweeting.","You must be logged in for us to reward you for tweeting."
"You will earn %s for writing a %s","You will earn %s for writing a %s"
"You will earn %s for writing a tag for this product","You will earn %s for writing a tag for this product"
"You will earn %s on your birthday.","You will earn %s on your birthday."
"Your balance minus -%s for Un-liking this page!","Your balance minus -%s for Un-liking this page!"
"Your balance minus -%s for cancel +1","Your balance minus -%s for cancel +1"
"points per customer per day","points per customer per day"
"review this product","review this product"
